Dim;point_gen_method;input_file;spanner_method;epsilon;Points;Edges;Sparseness;Edges to points ratio
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-connect-first;0.2;100;1727;0.348889;17.27
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-lower-bound-first;0.2;100;1572;0.317576;15.72
2;normal;dist_matrix_points_2_100_normal.txt;greedy-non-blind;0.5;100;174;0.0351515;1.74
2;normal;dist_matrix_points_2_100_normal.txt;blind-quasi-sorted-greedy;0.5;100;3709;0.749293;37.09
2;normal;dist_matrix_points_2_100_normal.txt;blind-quasi-sorted-shaker;0.5;100;4487;0.906465;44.87
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.5;100;994;0.200808;9.94
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio;0.5;100;1133;0.228889;11.33
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-connect-first;0.5;100;1211;0.244646;12.11
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-lower-bound-first;0.5;100;984;0.198788;9.84
2;normal;dist_matrix_points_2_100_normal.txt;greedy-non-blind;0.01;100;1056;0.213333;10.56
2;normal;dist_matrix_points_2_100_normal.txt;blind-quasi-sorted-greedy;0.01;100;4949;0.999798;49.49
2;normal;dist_matrix_points_2_100_normal.txt;blind-quasi-sorted-shaker;0.01;100;4946;0.999192;49.46
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.01;100;3341;0.674949;33.41
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio;0.01;100;3413;0.689495;34.13
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-connect-first;0.01;100;3357;0.678182;33.57
2;normal;dist_matrix_points_2_100_normal.txt;blind-random-bad-ratio-lower-bound-first;0.01;100;3322;0.671111;33.22
2;unif_100;dist_matrix_points_2_100_unif_100.txt;greedy-non-blind;0.1;100;370;0.0747475;3.7
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-quasi-sorted-greedy;0.1;100;4927;0.995354;49.27
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-quasi-sorted-shaker;0.1;100;4881;0.986061;48.81
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.1;100;1932;0.390303;19.32
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio;0.1;100;2094;0.42303;20.94
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-connect-first;0.1;100;2060;0.416162;20.6
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-lower-bound-first;0.1;100;1833;0.370303;18.33
2;unif_100;dist_matrix_points_2_100_unif_100.txt;greedy-non-blind;0.2;100;264;0.0533333;2.64
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-quasi-sorted-greedy;0.2;100;4722;0.953939;47.22
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-quasi-sorted-shaker;0.2;100;4881;0.986061;48.81
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.2;100;1363;0.275354;13.63
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio;0.2;100;1633;0.329899;16.33
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-connect-first;0.2;100;1742;0.351919;17.42
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-lower-bound-first;0.2;100;1431;0.289091;14.31
2;unif_100;dist_matrix_points_2_100_unif_100.txt;greedy-non-blind;0.5;100;171;0.0345455;1.71
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-quasi-sorted-greedy;0.5;100;2246;0.453737;22.46
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-quasi-sorted-shaker;0.5;100;2486;0.502222;24.86
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.5;100;860;0.173737;8.6
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio;0.5;100;1118;0.225859;11.18
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-connect-first;0.5;100;1100;0.222222;11
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-lower-bound-first;0.5;100;884;0.178586;8.84
2;unif_100;dist_matrix_points_2_100_unif_100.txt;greedy-non-blind;0.01;100;1052;0.212525;10.52
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-quasi-sorted-greedy;0.01;100;4950;1;49.5
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-quasi-sorted-shaker;0.01;100;4945;0.99899;49.45
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.01;100;3366;0.68;33.66
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio;0.01;100;3448;0.696566;34.48
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-connect-first;0.01;100;3485;0.70404;34.85
2;unif_100;dist_matrix_points_2_100_unif_100.txt;blind-random-bad-ratio-lower-bound-first;0.01;100;3306;0.667879;33.06
2;unif;dist_matrix_points_2_100_unif.txt;greedy-non-blind;0.1;100;378;0.0763636;3.78
2;unif;dist_matrix_points_2_100_unif.txt;blind-quasi-sorted-greedy;0.1;100;4894;0.988687;48.94
2;unif;dist_matrix_points_2_100_unif.txt;blind-quasi-sorted-shaker;0.1;100;4757;0.96101;47.57
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.1;100;1970;0.39798;19.7
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio;0.1;100;2104;0.425051;21.04
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-connect-first;0.1;100;2100;0.424242;21
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-lower-bound-first;0.1;100;1977;0.399394;19.77
2;unif;dist_matrix_points_2_100_unif.txt;greedy-non-blind;0.2;100;267;0.0539394;2.67
2;unif;dist_matrix_points_2_100_unif.txt;blind-quasi-sorted-greedy;0.2;100;4248;0.858182;42.48
2;unif;dist_matrix_points_2_100_unif.txt;blind-quasi-sorted-shaker;0.2;100;4368;0.882424;43.68
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.2;100;1554;0.313939;15.54
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio;0.2;100;1680;0.339394;16.8
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-connect-first;0.2;100;1669;0.337172;16.69
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-lower-bound-first;0.2;100;1494;0.301818;14.94
2;unif;dist_matrix_points_2_100_unif.txt;greedy-non-blind;0.5;100;172;0.0347475;1.72
2;unif;dist_matrix_points_2_100_unif.txt;blind-quasi-sorted-greedy;0.5;100;2732;0.551919;27.32
2;unif;dist_matrix_points_2_100_unif.txt;blind-quasi-sorted-shaker;0.5;100;1834;0.370505;18.34
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.5;100;970;0.19596;9.7
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio;0.5;100;1140;0.230303;11.4
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-connect-first;0.5;100;1191;0.240606;11.91
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-lower-bound-first;0.5;100;1044;0.210909;10.44
2;unif;dist_matrix_points_2_100_unif.txt;greedy-non-blind;0.01;100;1020;0.206061;10.2
2;unif;dist_matrix_points_2_100_unif.txt;blind-quasi-sorted-greedy;0.01;100;4950;1;49.5
2;unif;dist_matrix_points_2_100_unif.txt;blind-quasi-sorted-shaker;0.01;100;4949;0.999798;49.49
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.01;100;3522;0.711515;35.22
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio;0.01;100;3601;0.727475;36.01
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-connect-first;0.01;100;3535;0.714141;35.35
2;unif;dist_matrix_points_2_100_unif.txt;blind-random-bad-ratio-lower-bound-first;0.01;100;3499;0.706869;34.99
2;clustered;dist_matrix_points_2_150_clustered.txt;greedy-non-blind;0.1;150;481;0.0430425;3.20667
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-quasi-sorted-greedy;0.1;150;2174;0.194541;14.4933
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-quasi-sorted-shaker;0.1;150;4348;0.389083;28.9867
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.1;150;1659;0.148456;11.06
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio;0.1;150;1840;0.164653;12.2667
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-connect-first;0.1;150;1840;0.164653;12.2667
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-lower-bound-first;0.1;150;1669;0.149351;11.1267
2;clustered;dist_matrix_points_2_150_clustered.txt;greedy-non-blind;0.2;150;359;0.0321253;2.39333
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-quasi-sorted-greedy;0.2;150;2160;0.193289;14.4
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-quasi-sorted-shaker;0.2;150;4332;0.387651;28.88
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.2;150;1373;0.122864;9.15333
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio;0.2;150;1576;0.141029;10.5067
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-connect-first;0.2;150;1604;0.143535;10.6933
2;clustered;dist_matrix_points_2_150_clustered.txt;blind-random-bad-ratio-lower-bound-first;0.2;150;1444;0.129217;9.62667
2;clustered;dist_matrix_points_2_150_clustered.txt;greedy-non-blind;0.5;150;225;0.0201342;1.5
