spanner_method;dim;n_points;epsilon;point_method;n_edges;sparseness
quasi;2;200;2.0;get_points;270;0.013567839195979899
greedy;2;200;2.0;get_uniform_points;233;0.011708542713567839
random;2;200;2.0;get_uniform_points;1024;0.051457286432160805
quasi;2;200;2.0;get_uniform_points;277;0.01391959798994975
greedy;2;200;2.0;get_exponential_points;207;0.010402010050251256
random;2;200;2.0;get_exponential_points;712;0.03577889447236181
quasi;2;200;2.0;get_exponential_points;238;0.011959798994974874
greedy;2;400;0.1;get_uniform_points;1659;0.020789473684210528
random;2;400;0.1;get_uniform_points;12259;0.15362155388471177
quasi;2;400;0.1;get_uniform_points;2509;0.03144110275689223
greedy;2;400;0.1;get_points;1717;0.02151629072681704
random;2;400;0.1;get_points;12245;0.15344611528822055
quasi;2;400;0.1;get_points;2603;0.03261904761904762
greedy;2;400;0.01;get_exponential_points;3313;0.04151629072681704
random;2;400;0.01;get_exponential_points;13440;0.16842105263157894
quasi;2;400;0.01;get_exponential_points;5200;0.06516290726817042
greedy;2;400;0.1;get_exponential_points;1066;0.013358395989974937
random;2;400;0.1;get_exponential_points;6437;0.08066416040100251
quasi;2;400;0.1;get_exponential_points;1636;0.02050125313283208
greedy;2;400;0.2;get_points;1201;0.015050125313283208
random;2;400;0.2;get_points;9549;0.11966165413533834
quasi;2;400;0.2;get_points;1820;0.02280701754385965
greedy;2;400;0.2;get_exponential_points;751;0.009411027568922306
random;2;400;0.2;get_exponential_points;4990;0.06253132832080201
quasi;2;400;0.2;get_exponential_points;1114;0.013959899749373434
greedy;2;400;0.2;get_uniform_points;1153;0.014448621553884712
random;2;400;0.2;get_uniform_points;9421;0.1180576441102757
quasi;2;400;0.2;get_uniform_points;1740;0.02180451127819549
greedy;2;400;0.01;get_uniform_points;4995;0.06259398496240602
random;2;400;0.01;get_uniform_points;23471;0.29412280701754384
quasi;2;400;0.01;get_uniform_points;7531;0.0943734335839599
greedy;2;400;0.01;get_points;5168;0.06476190476190476
random;2;400;0.01;get_points;24123;0.3022932330827068
quasi;2;400;0.01;get_points;7751;0.09713032581453634
greedy;2;400;2.0;get_points;480;0.006015037593984963
random;2;400;2.0;get_points;2392;0.029974937343358397
quasi;2;400;2.0;get_points;569;0.007130325814536341
greedy;2;400;0.5;get_exponential_points;539;0.006754385964912281
random;2;400;0.5;get_exponential_points;3000;0.03759398496240601
quasi;2;400;0.5;get_exponential_points;767;0.009611528822055139
greedy;3;50;0.01;get_points;982;0.8016326530612244
random;3;50;0.01;get_points;1132;0.9240816326530612
quasi;3;50;0.01;get_points;1044;0.8522448979591837
greedy;3;50;0.01;get_uniform_points;1003;0.8187755102040817
random;3;50;0.01;get_uniform_points;1153;0.9412244897959183
quasi;3;50;0.01;get_uniform_points;1070;0.8734693877551021
greedy;3;50;0.01;get_exponential_points;455;0.37142857142857144
random;3;50;0.01;get_exponential_points;695;0.5673469387755102
quasi;3;50;0.01;get_exponential_points;544;0.4440816326530612
greedy;3;50;0.1;get_points;413;0.33714285714285713
random;3;50;0.1;get_points;788;0.643265306122449
quasi;3;50;0.1;get_points;541;0.4416326530612245
greedy;3;50;0.1;get_uniform_points;411;0.3355102040816327
random;3;50;0.1;get_uniform_points;778;0.6351020408163265
quasi;3;50;0.1;get_uniform_points;543;0.44326530612244897
greedy;3;50;0.1;get_exponential_points;170;0.13877551020408163
random;3;50;0.1;get_exponential_points;431;0.35183673469387755
quasi;3;50;0.1;get_exponential_points;230;0.18775510204081633
greedy;3;50;0.2;get_points;256;0.2089795918367347
random;3;50;0.2;get_points;625;0.5102040816326531
quasi;3;50;0.2;get_points;380;0.31020408163265306
greedy;3;50;0.2;get_uniform_points;237;0.19346938775510203
random;3;50;0.2;get_uniform_points;597;0.4873469387755102
quasi;3;50;0.2;get_uniform_points;314;0.2563265306122449
greedy;3;50;0.2;get_exponential_points;102;0.08326530612244898
random;3;50;0.2;get_exponential_points;291;0.23755102040816325
quasi;3;50;0.2;get_exponential_points;147;0.12
greedy;3;50;0.5;get_points;136;0.1110204081632653
random;3;50;0.5;get_points;397;0.3240816326530612
quasi;3;50;0.5;get_points;203;0.1657142857142857
greedy;3;50;0.5;get_uniform_points;113;0.09224489795918367
random;3;50;0.5;get_uniform_points;389;0.31755102040816324
quasi;3;50;0.5;get_uniform_points;158;0.12897959183673469
