Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
4;0.005;2000;get_points;query_1;0.0165;0.0405;0.028850000000000004;33;81;57.7
4;0.01;2000;get_points;query_2;0.001;0.004;0.0021999999999999997;2;8;4.4
4;0.005;2000;get_uniform_points;query_1;0.02;0.0375;0.02615;40;75;52.3
4;0.01;2000;get_uniform_points;query_2;0.0025;0.008;0.0058000000000000005;5;16;11.6
4;0.01;2000;get_points;query_1;0.0165;0.04;0.028750000000000005;33;80;57.5
4;0.01;2000;get_uniform_points;query_1;0.02;0.0375;0.0259;40;75;51.8
6;0.0001;2000;get_uniform_points;query_1;0.0185;0.0525;0.040499999999999994;37;105;81.0
6;0.0001;2000;get_points;query_2;0.0305;0.059;0.04485;61;118;89.7
6;0.0001;2000;get_points;query_1;0.035;0.077;0.05920000000000001;70;154;118.4
6;0.0001;2000;get_uniform_points;query_2;0.054;0.0835;0.071;108;167;142.0
6;0.0005;2000;get_points;query_2;0.0255;0.0515;0.04129999999999999;51;103;82.6
6;0.0005;2000;get_points;query_1;0.0345;0.076;0.058800000000000005;69;152;117.6
6;0.0005;2000;get_uniform_points;query_1;0.0185;0.0525;0.04015;37;105;80.3
20;0.005;1000;get_uniform_points;query_1;0.778;0.932;0.8611000000000001;778;932;861.1
6;0.0005;2000;get_uniform_points;query_2;0.0585;0.08;0.07010000000000001;117;160;140.2
6;0.001;2000;get_points;query_2;0.0255;0.047;0.037200000000000004;51;94;74.4
6;0.001;2000;get_points;query_1;0.04;0.0755;0.0591;80;151;118.2
6;0.005;2000;get_points;query_2;0.01;0.0245;0.0171;20;49;34.2
6;0.001;2000;get_uniform_points;query_1;0.0185;0.0495;0.03965;37;99;79.3
6;0.01;2000;get_points;query_2;0.005;0.012;0.0083;10;24;16.6
6;0.005;2000;get_points;query_1;0.0355;0.07;0.05539999999999999;71;140;110.8
6;0.001;2000;get_uniform_points;query_2;0.0525;0.0775;0.06775;105;155;135.5
6;0.005;2000;get_uniform_points;query_1;0.017;0.0475;0.03779999999999999;34;95;75.6
6;0.01;2000;get_uniform_points;query_1;0.016;0.0455;0.0358;32;91;71.6
20;0.01;1000;get_uniform_points;query_1;0.765;0.926;0.8512000000000001;765;926;851.2
6;0.01;2000;get_points;query_1;0.033;0.0665;0.0504;66;133;100.8
6;0.005;2000;get_uniform_points;query_2;0.0435;0.063;0.05555;87;126;111.1
6;0.01;2000;get_uniform_points;query_2;0.0325;0.0455;0.03949999999999999;65;91;79.0
8;0.0001;2000;get_points;query_1;0.064;0.133;0.09875;128;266;197.5
