Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
10;0.01;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
5;0.001;100;unif;query_2;0.15;0.42;0.311;15;42;31.1
10;0.001;100;exp;query_2;0.05;0.12;0.088;5;12;8.8
10;0.01;100;normal;query_2;0.02;0.16;0.07100000000000001;2;16;7.1
10;0.001;100;exp;query_1;0.04;0.17;0.08;4;17;8.0
10;0.01;100;unif;query_1;0.02;0.03;0.020999999999999998;2;3;2.1
10;0.01;100;exp;query_2;0.05;0.12;0.074;5;12;7.4
10;0.1;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
10;0.001;100;normal;query_1;0.06;0.43;0.227;6;43;22.7
10;0.1;100;normal;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
10;0.01;100;exp;query_1;0.04;0.16;0.08600000000000001;4;16;8.6
10;0.1;100;unif;query_2;0.02;0.03;0.022;2;3;2.2
10;0.1;100;unif;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
10;0.5;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
10;0.5;100;unif;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
10;0.5;100;normal;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
10;0.1;100;exp;query_1;0.04;0.12;0.07899999999999999;4;12;7.9
10;0.5;100;unif;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
10;0.1;100;exp;query_2;0.04;0.14;0.092;4;14;9.2
10;0.5;100;exp;query_2;0.03;0.12;0.07400000000000001;3;12;7.4
10;0.5;100;exp;query_1;0.04;0.09;0.065;4;9;6.5
10;0.001;100;unif;query_1;0.14;0.62;0.404;14;62;40.4
10;0.001;100;normal;query_2;0.21;0.76;0.46799999999999997;21;76;46.8
20;0.001;100;exp;query_1;0.03;0.17;0.10300000000000001;3;17;10.3
10;0.01;100;unif;query_2;0.15;0.65;0.377;15;65;37.7
20;0.01;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
20;0.001;100;exp;query_2;0.04;0.19;0.093;4;19;9.3
20;0.01;100;unif;query_1;0.02;0.03;0.020999999999999998;2;3;2.1
20;0.01;100;normal;query_2;0.04;0.15;0.10900000000000001;4;15;10.9
20;0.01;100;exp;query_2;0.05;0.16;0.10600000000000001;5;16;10.6
20;0.1;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
20;0.1;100;normal;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
20;0.01;100;exp;query_1;0.04;0.16;0.11100000000000002;4;16;11.1
20;0.001;100;normal;query_1;0.25;0.66;0.42700000000000005;25;66;42.7
20;0.1;100;unif;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
20;0.1;100;unif;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
20;0.5;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
10;0.001;100;unif;query_2;0.41;0.82;0.644;41;82;64.4
20;0.5;100;normal;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
20;0.5;100;unif;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
20;0.5;100;unif;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
20;0.1;100;exp;query_1;0.06;0.18;0.11000000000000001;6;18;11.0
20;0.1;100;exp;query_2;0.02;0.22;0.11000000000000001;2;22;11.0
20;0.5;100;exp;query_1;0.02;0.16;0.092;2;16;9.2
20;0.5;100;exp;query_2;0.04;0.17;0.098;4;17;9.8
20;0.001;100;unif;query_1;0.3;0.97;0.8220000000000001;30;97;82.2
2;0.001;500;normal;query_1;0.008;0.028;0.016800000000000002;4;14;8.4
2;0.001;500;unif;query_1;0.01;0.03;0.018;5;15;9.0
2;0.001;500;normal;query_2;0.014;0.044;0.028600000000000004;7;22;14.3
20;0.01;100;unif;query_2;0.36;0.84;0.649;36;84;64.9
2;0.001;500;unif;query_2;0.018;0.058;0.034999999999999996;9;29;17.5
20;0.001;100;normal;query_2;0.63;0.99;0.892;63;99;89.2
2;0.01;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
20;0.001;100;unif;query_2;0.89;1.0;0.9810000000000001;89;100;98.1
2;0.001;500;exp;query_2;0.012;0.032;0.0216;6;16;10.8
2;0.01;500;normal;query_2;0.006;0.014;0.0098;3;7;4.9
2;0.01;500;unif;query_1;0.004;0.008;0.004999999999999999;2;4;2.5
2;0.001;500;exp;query_1;0.014;0.046;0.0314;7;23;15.7
2;0.1;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
2;0.1;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
2;0.1;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
2;0.01;500;exp;query_2;0.008;0.032;0.0234;4;16;11.7
2;0.01;500;exp;query_1;0.018;0.038;0.026000000000000002;9;19;13.0
2;0.5;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
2;0.01;500;unif;query_2;0.016;0.028;0.0212;8;14;10.6
2;0.1;500;unif;query_2;0.004;0.008;0.004600000000000002;2;4;2.3
2;0.5;500;normal;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
2;0.5;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
2;0.1;500;exp;query_2;0.006;0.03;0.0164;3;15;8.2
2;0.5;500;unif;query_2;0.004;0.004;0.004000000000000001;2;2;2.0
2;0.1;500;exp;query_1;0.012;0.03;0.0182;6;15;9.1
2;0.5;500;exp;query_1;0.006;0.016;0.009400000000000002;3;8;4.7
2;0.5;500;exp;query_2;0.006;0.02;0.012;3;10;6.0
3;0.01;500;normal;query_1;0.004;0.01;0.0046;2;5;2.3
3;0.001;500;normal;query_1;0.006;0.052;0.0232;3;26;11.6
3;0.001;500;exp;query_1;0.004;0.042;0.027800000000000002;2;21;13.9
3;0.001;500;exp;query_2;0.016;0.032;0.0226;8;16;11.3
3;0.01;500;unif;query_1;0.004;0.01;0.005600000000000001;2;5;2.8
3;0.01;500;normal;query_2;0.006;0.044;0.0198;3;22;9.9
3;0.1;500;normal;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
3;0.001;500;unif;query_1;0.004;0.038;0.0268;2;19;13.4
3;0.001;500;normal;query_2;0.03;0.05;0.039400000000000004;15;25;19.7
3;0.01;500;exp;query_1;0.012;0.04;0.0322;6;20;16.1
3;0.1;500;normal;query_2;0.004;0.006;0.004200000000000001;2;3;2.1
3;0.001;500;unif;query_2;0.01;0.082;0.0506;5;41;25.3
3;0.01;500;exp;query_2;0.01;0.032;0.023799999999999998;5;16;11.9
3;0.1;500;unif;query_1;0.004;0.004;0.004000000000000001;2;2;2.0
3;0.01;500;unif;query_2;0.006;0.046;0.022600000000000002;3;23;11.3
